KeySize,Format,File,Encryption_Time,Decryption_Time
3072,DER,Plain_128.txt,0.57,4.601
3072,DER,Plain_128.txt,0.811,6.369
3072,DER,Plain_128.txt,0.676,6.831
3072,DER,Plain_128.txt,0.606,6.973
3072,DER,Plain_128.txt,0.855,4.694
3072,DER,Plain_128.txt,1.117,4.888
3072,DER,Plain_128.txt,1.246,5.441
3072,DER,Plain_128.txt,0.693,5.491
3072,DER,Plain_128.txt,1.252,5.035
3072,DER,Plain_128.txt,1.085,5.818
3072,DER,Plain_128.txt,0.523,5.303
3072,DER,Plain_128.txt,0.43,7.421
3072,DER,Plain_128.txt,7.774,5.916
3072,DER,Plain_128.txt,1.334,6.398
3072,DER,Plain_128.txt,0.478,6.938
3072,DER,Plain_128.txt,1.316,5.722
3072,DER,Plain_128.txt,0.66,5.036
3072,DER,Plain_128.txt,0.814,9.622
3072,DER,Plain_128.txt,0.537,6.603
3072,DER,Plain_128.txt,0.654,5.451
3072,DER,Plain_128.txt,0.621,6.013
3072,DER,Plain_128.txt,0.671,5.965
3072,DER,Plain_128.txt,0.583,5.046
3072,DER,Plain_128.txt,1.715,5.79
3072,DER,Plain_128.txt,0.486,4.771
3072,DER,Plain_128.txt,0.555,6.09
3072,DER,Plain_128.txt,0.648,5.047
3072,DER,Plain_128.txt,0.613,5.359
3072,DER,Plain_128.txt,0.616,5
3072,DER,Plain_128.txt,0.823,8.224
3072,DER,Plain_128.txt,0.812,5.412
3072,DER,Plain_128.txt,0.456,4.946
3072,DER,Plain_128.txt,0.612,6.662
3072,DER,Plain_128.txt,0.467,5.372
3072,DER,Plain_128.txt,0.492,4.825
3072,DER,Plain_128.txt,0.521,5.274
3072,DER,Plain_128.txt,0.471,5.179
3072,DER,Plain_128.txt,0.689,5.063
3072,DER,Plain_128.txt,0.495,5.861
3072,DER,Plain_128.txt,0.501,5.107
3072,DER,Plain_128.txt,0.985,6.244
3072,DER,Plain_128.txt,0.591,5.157
3072,DER,Plain_128.txt,0.514,5.712
3072,DER,Plain_128.txt,0.555,7.278
3072,DER,Plain_128.txt,0.813,5.003
3072,DER,Plain_128.txt,0.929,4.884
3072,DER,Plain_128.txt,1.297,5.684
3072,DER,Plain_128.txt,1.954,5.529
3072,DER,Plain_128.txt,1.248,4.687
3072,DER,Plain_256.txt,0.48,4.75
3072,DER,Plain_256.txt,0.58,6.088
3072,DER,Plain_256.txt,0.606,4.787
3072,DER,Plain_256.txt,0.479,4.568
3072,DER,Plain_256.txt,0.578,4.58
3072,DER,Plain_256.txt,0.488,5.323
