KeySize,Format,File,Encryption_Time,Decryption_Time
3072,DER,Plain_128.txt,0.317,5.984
3072,DER,Plain_128.txt,0.331,5.734
3072,DER,Plain_128.txt,0.319,5.768
3072,DER,Plain_128.txt,0.322,5.763
3072,DER,Plain_128.txt,0.318,5.853
3072,DER,Plain_128.txt,0.323,5.772
3072,DER,Plain_128.txt,0.386,5.893
3072,DER,Plain_128.txt,0.337,5.684
3072,DER,Plain_128.txt,0.304,5.936
3072,DER,Plain_128.txt,0.302,5.698
3072,DER,Plain_128.txt,0.329,5.743
3072,DER,Plain_128.txt,0.308,5.738
3072,DER,Plain_128.txt,0.33,5.748
3072,DER,Plain_128.txt,0.325,5.724
3072,DER,Plain_128.txt,0.34,5.731
3072,DER,Plain_128.txt,0.356,5.674
3072,DER,Plain_128.txt,0.354,5.712
3072,DER,Plain_128.txt,0.346,5.95
3072,DER,Plain_128.txt,0.347,5.845
3072,DER,Plain_128.txt,0.366,5.748
3072,DER,Plain_128.txt,0.352,5.793
3072,DER,Plain_128.txt,0.325,5.751
3072,DER,Plain_128.txt,0.338,5.753
3072,DER,Plain_128.txt,0.313,5.796
3072,DER,Plain_128.txt,0.322,5.927
3072,DER,Plain_128.txt,0.335,5.749
3072,DER,Plain_128.txt,0.319,5.807
3072,DER,Plain_128.txt,0.324,5.752
3072,DER,Plain_128.txt,0.324,5.761
3072,DER,Plain_128.txt,0.314,6.189
3072,DER,Plain_128.txt,0.327,5.961
3072,DER,Plain_128.txt,0.343,5.931
3072,DER,Plain_128.txt,0.314,5.752
3072,DER,Plain_128.txt,0.33,5.861
3072,DER,Plain_128.txt,0.36,5.713
3072,DER,Plain_128.txt,0.324,5.762
3072,DER,Plain_128.txt,0.459,5.8
3072,DER,Plain_128.txt,0.344,5.811
3072,DER,Plain_128.txt,0.344,5.668
3072,DER,Plain_128.txt,0.329,5.651
3072,DER,Plain_128.txt,0.328,6.213
3072,DER,Plain_128.txt,0.38,5.677
3072,DER,Plain_128.txt,0.391,5.902
3072,DER,Plain_128.txt,0.331,5.649
3072,DER,Plain_128.txt,0.321,5.662
3072,DER,Plain_128.txt,0.343,5.664
3072,DER,Plain_128.txt,0.318,5.675
3072,DER,Plain_128.txt,0.325,5.692
3072,DER,Plain_128.txt,0.356,5.88
3072,DER,Plain_128.txt,0.33,5.717
3072,DER,Plain_128.txt,0.316,5.747
3072,DER,Plain_128.txt,0.317,5.928
3072,DER,Plain_128.txt,0.329,5.772
3072,DER,Plain_128.txt,0.323,5.798
3072,DER,Plain_128.txt,0.324,5.773
3072,DER,Plain_128.txt,0.325,5.781
3072,DER,Plain_128.txt,0.308,5.85
