KeySize,Format,File,Encryption_Time,Decryption_Time
3072,DER,Plain_128.txt,2.205,6.98
3072,DER,Plain_128.txt,2.247,6.325
3072,DER,Plain_128.txt,2.268,6.607
3072,DER,Plain_128.txt,2.617,6.814
3072,DER,Plain_128.txt,2.18,6.436
3072,DER,Plain_128.txt,2.339,6.46
3072,DER,Plain_128.txt,2.278,6.607
3072,DER,Plain_128.txt,2.505,6.74
3072,DER,Plain_128.txt,2.744,6.348
3072,DER,Plain_128.txt,2.407,6.747
3072,DER,Plain_128.txt,2.824,6.808
3072,DER,Plain_128.txt,2.939,6.701
3072,DER,Plain_128.txt,2.269,8.753
3072,DER,Plain_128.txt,2.385,6.473
3072,DER,Plain_128.txt,2.905,6.796
3072,DER,Plain_128.txt,2.352,7.666
3072,DER,Plain_128.txt,2.994,6.783
3072,DER,Plain_128.txt,2.449,7.107
3072,DER,Plain_128.txt,2.279,8.162
3072,DER,Plain_128.txt,2.347,6.543
3072,DER,Plain_128.txt,2.302,6.352
3072,DER,Plain_128.txt,2.446,6.86
3072,DER,Plain_128.txt,2.228,8.232
3072,DER,Plain_128.txt,2.374,6.754
3072,DER,Plain_128.txt,2.639,6.931
3072,DER,Plain_128.txt,2.16,7.134
3072,DER,Plain_128.txt,2.697,7.273
3072,DER,Plain_128.txt,2.831,6.71
3072,DER,Plain_128.txt,2.405,6.819
3072,DER,Plain_128.txt,2.326,6.634
3072,DER,Plain_128.txt,2.273,6.756
3072,DER,Plain_128.txt,2.163,6.524
3072,DER,Plain_128.txt,2.328,7.096
3072,DER,Plain_128.txt,2.807,6.949
3072,DER,Plain_128.txt,2.241,6.305
3072,DER,Plain_128.txt,2.183,6.641
3072,DER,Plain_128.txt,2.598,6.198
3072,DER,Plain_128.txt,2.496,7.118
3072,DER,Plain_128.txt,2.534,8.375
3072,DER,Plain_128.txt,2.613,6.897
3072,DER,Plain_128.txt,2.558,7.625
3072,DER,Plain_128.txt,2.787,6.366
3072,DER,Plain_128.txt,2.348,6.978
3072,DER,Plain_128.txt,2.208,6.396
3072,DER,Plain_128.txt,2.267,6.68
3072,DER,Plain_128.txt,2.55,6.757
3072,DER,Plain_128.txt,2.185,6.643
3072,DER,Plain_128.txt,2.392,6.803
3072,DER,Plain_128.txt,2.196,6.802
3072,DER,Plain_128.txt,2.147,6.601
3072,DER,Plain_128.txt,2.268,7.351
3072,DER,Plain_128.txt,2.152,7.37
3072,DER,Plain_128.txt,2.225,6.815
3072,DER,Plain_128.txt,2.323,6.815
3072,DER,Plain_128.txt,2.355,6.771
3072,DER,Plain_128.txt,2.152,6.251
3072,DER,Plain_128.txt,2.14,6.586
3072,DER,Plain_128.txt,4.481,8.025
3072,DER,Plain_128.txt,3.145,6.372
3072,DER,Plain_128.txt,2.138,6.243
3072,DER,Plain_128.txt,2.222,7.08
3072,DER,Plain_128.txt,2.118,6.273
3072,DER,Plain_128.txt,2.408,7.676
3072,DER,Plain_128.txt,3.043,7.183
3072,DER,Plain_128.txt,2.773,9.174
3072,DER,Plain_128.txt,2.436,6.26
3072,DER,Plain_128.txt,2.176,6.592
3072,DER,Plain_128.txt,2.28,7.379
3072,DER,Plain_128.txt,2.162,6.552
3072,DER,Plain_128.txt,2.371,6.389
3072,DER,Plain_128.txt,2.136,6.558
3072,DER,Plain_128.txt,2.886,6.445
3072,DER,Plain_128.txt,2.408,6.867
3072,DER,Plain_128.txt,2.19,6.608
