Format,Mode,File,Encryption_Time,Decryption_Time
DER,CBC,1MB.txt,42.554,38.998
DER,CBC,1MB.txt,38.699,41.583
DER,CBC,1MB.txt,40.969,40.844
DER,CBC,1MB.txt,40.506,34.482
DER,CBC,1MB.txt,43.093,37.026
DER,CBC,1MB.txt,37.57,42.726
DER,CBC,1MB.txt,51.016,37.866
DER,CBC,1MB.txt,57.678,44.311
DER,CBC,1MB.txt,41.681,34.853
DER,CBC,1MB.txt,35.519,34.959
DER,CBC,1MB.txt,37.828,33.403
DER,CBC,1MB.txt,33.665,33.346
DER,CBC,1MB.txt,38.085,30.786
DER,CBC,1MB.txt,34.426,30.543
DER,CBC,1MB.txt,33.029,32.587
DER,CBC,1MB.txt,33.834,33.721
DER,CBC,1MB.txt,34.851,40.235
DER,CBC,1MB.txt,36.153,30.509
DER,CBC,1MB.txt,30.106,29.986
DER,CBC,1MB.txt,32.75,30.52
DER,CBC,1MB.txt,34.192,26.78
DER,CBC,1MB.txt,33.212,30.647
DER,CBC,1MB.txt,35.894,30.141
DER,CBC,1MB.txt,35.311,32.228
DER,CBC,1MB.txt,38.835,31.673
DER,CBC,1MB.txt,32.929,34.939
DER,CBC,1MB.txt,34.045,29.742
DER,CBC,1MB.txt,35.458,32.899
DER,CBC,1MB.txt,33.446,29.912
DER,CBC,1MB.txt,37.949,40.402
DER,CBC,1MB.txt,39.733,35.666
DER,CBC,1MB.txt,38.786,36.336
DER,CBC,1MB.txt,39.659,32.346
DER,CBC,1MB.txt,33.139,31.05
DER,CBC,1MB.txt,34.473,29.846
DER,CBC,1MB.txt,33.416,31.363
DER,CBC,1MB.txt,32.928,30.306
DER,CBC,1MB.txt,32.622,30.894
DER,CBC,1MB.txt,36.727,30.844
DER,CBC,1MB.txt,33.624,32.063
DER,CBC,1MB.txt,35.807,32.647
DER,CBC,1MB.txt,35.961,38.845
DER,CBC,1MB.txt,42.939,36.979
DER,CBC,1MB.txt,40.044,35.194
DER,CBC,1MB.txt,37.018,35.316
DER,CBC,1MB.txt,37.081,34.151
DER,CBC,1MB.txt,38.128,37.11
DER,CBC,1MB.txt,39.324,33.543
DER,CBC,1MB.txt,41.666,32.973
DER,CBC,1MB.txt,36.769,30.734
DER,CBC,1MB.txt,33.255,30.399
DER,CBC,1MB.txt,39.694,31.09
DER,CBC,1MB.txt,33.661,31.599
DER,CBC,1MB.txt,35.781,38.31
DER,CBC,256KB.txt,12.862,9.106
DER,CBC,256KB.txt,7.722,8.905
DER,CBC,256KB.txt,9.787,9.297
DER,CBC,256KB.txt,10.51,9.595
DER,CBC,256KB.txt,10.042,12.293
DER,CBC,256KB.txt,10.019,11.976
DER,CBC,256KB.txt,9.602,8.701
DER,CBC,256KB.txt,9.467,9.023
DER,CBC,256KB.txt,9.459,8.965
DER,CBC,256KB.txt,9.763,8.781
DER,CBC,256KB.txt,9.491,9.347
DER,CBC,256KB.txt,9.794,8.464
DER,CBC,256KB.txt,9.553,8.531
DER,CBC,256KB.txt,9.741,8.883
DER,CBC,256KB.txt,9.368,7.966
DER,CBC,256KB.txt,10.63,9.436
DER,CBC,256KB.txt,9.47,8.542
DER,CBC,256KB.txt,9.307,8.624
DER,CBC,256KB.txt,9.643,11.079
DER,CBC,256KB.txt,10.481,8.568
DER,CBC,256KB.txt,9.711,8.605
DER,CBC,256KB.txt,9.729,10.447
DER,CBC,256KB.txt,9.57,9.502
DER,CBC,256KB.txt,9.418,8.627
DER,CBC,256KB.txt,8.896,8.781
DER,CBC,256KB.txt,9.424,8.59
DER,CBC,256KB.txt,9.547,8.603
DER,CBC,256KB.txt,9.233,8.881
