KeySize,File,Encryption_Time,Decryption_Time
128,1KB.txt,3.837,3.837
128,1KB.txt,4.199,4.143
128,1KB.txt,3.77,4.212
128,1KB.txt,4.198,3.801
128,1KB.txt,5.154,3.976
128,1KB.txt,3.613,5.008
128,1KB.txt,4.277,5.079
128,1KB.txt,4.243,6.773
128,1KB.txt,3.995,3.725
128,1KB.txt,5.853,4.039
128,1KB.txt,3.863,7.789
128,1KB.txt,4.291,4.464
128,1KB.txt,5.025,5.331
128,1KB.txt,4.236,4.61
128,1KB.txt,3.78,3.678
128,1KB.txt,4.856,3.777
128,1KB.txt,3.833,3.588
128,1KB.txt,3.742,4.188
128,1KB.txt,4.532,4.905
128,1KB.txt,3.838,4.305
128,1KB.txt,4.712,3.761
128,1KB.txt,15.239,4.068
128,1KB.txt,5.226,4.635
128,1KB.txt,4.329,3.785
128,1KB.txt,3.808,5.252
128,1KB.txt,3.633,3.916
128,1KB.txt,4.898,3.742
128,1KB.txt,3.827,3.724
128,1KB.txt,3.843,5.091
128,1KB.txt,5.347,16.454
128,1KB.txt,4.624,3.908
128,1KB.txt,3.944,7.041
128,1KB.txt,4.49,4.8
128,1KB.txt,4.169,5.133
128,1KB.txt,4.575,4.089
128,1KB.txt,4.008,4.709
128,1KB.txt,4.037,4.125
128,1KB.txt,4.401,5.339
128,1KB.txt,3.999,4.359
128,1KB.txt,6.188,4.963
128,1KB.txt,4.113,3.794
128,1KB.txt,4.492,6.869
128,1KB.txt,3.969,3.696
128,1KB.txt,4.986,3.578
128,1KB.txt,4.185,3.564
128,1KB.txt,3.695,4.722
128,1KB.txt,15.483,4.49
128,1KB.txt,5.509,3.728
128,1KB.txt,4.059,4.647
128,1KB.txt,3.785,3.781
128,1KB.txt,4.531,4.51
128,1KB.txt,3.936,3.706
128,1KB.txt,4.914,7.357
128,1KB.txt,4.793,4.303
128,1KB.txt,3.705,6.24
128,1KB.txt,4.916,3.662
128,1KB.txt,3.707,5.698
128,1KB.txt,8.069,5.491
128,1KB.txt,3.734,5.854
128,1KB.txt,3.641,3.805
128,1KB.txt,5.322,3.448
128,1KB.txt,3.754,3.811
128,1KB.txt,3.749,4.86
128,1KB.txt,6.981,5.009
128,1KB.txt,7.73,5.858
128,1KB.txt,4.173,3.812
128,1KB.txt,6.468,3.519
128,1KB.txt,4.189,4.526
128,1KB.txt,3.752,3.845
128,1KB.txt,3.741,3.756
128,1KB.txt,5.593,4.319
