KeySize,File,Encryption_Time,Decryption_Time
128,1KB.txt,0.224,0.26
128,1KB.txt,0.281,0.26
128,1KB.txt,0.261,0.244
128,1KB.txt,0.251,0.227
128,1KB.txt,0.256,0.265
128,1KB.txt,0.229,0.253
128,1KB.txt,0.246,0.227
128,1KB.txt,0.215,0.244
128,1KB.txt,0.239,0.238
128,1KB.txt,0.249,0.253
128,1KB.txt,0.279,0.251
128,1KB.txt,0.878,0.248
128,1KB.txt,0.246,0.261
128,1KB.txt,0.252,0.275
128,1KB.txt,0.271,0.265
128,1KB.txt,0.247,0.265
128,1KB.txt,0.24,0.236
128,1KB.txt,0.251,0.238
128,1KB.txt,0.234,0.236
128,1KB.txt,2.443,0.392
128,1KB.txt,0.669,1.121
128,1KB.txt,0.321,0.275
128,1KB.txt,0.366,0.261
128,1KB.txt,0.269,0.283
128,1KB.txt,0.253,0.249
128,1KB.txt,0.255,0.291
128,1KB.txt,0.279,0.276
128,1KB.txt,0.268,0.511
128,1KB.txt,0.269,0.269
128,1KB.txt,0.262,0.232
128,1KB.txt,0.236,0.242
128,1KB.txt,0.247,0.256
128,1KB.txt,0.29,0.802
128,1KB.txt,0.271,0.276
128,1KB.txt,0.228,0.261
128,1KB.txt,0.255,0.25
128,1KB.txt,0.279,0.264
128,1KB.txt,0.244,0.254
128,1KB.txt,0.278,0.279
128,1KB.txt,0.235,0.255
128,1KB.txt,0.274,0.25
128,1KB.txt,0.302,0.263
128,1KB.txt,0.23,0.286
128,1KB.txt,0.264,0.248
128,1KB.txt,0.245,0.309
128,1KB.txt,0.254,0.248
128,1KB.txt,0.256,0.261
128,1KB.txt,0.225,0.231
128,1KB.txt,0.244,0.227
128,1KB.txt,0.229,0.258
128,1KB.txt,0.233,0.23
128,1KB.txt,0.244,0.296
128,1KB.txt,0.22,0.24
128,1KB.txt,0.245,0.563
128,1KB.txt,0.251,0.246
128,1KB.txt,0.248,0.25
128,1KB.txt,0.268,0.258
128,1KB.txt,0.224,0.215
128,1KB.txt,0.261,0.214
128,1KB.txt,0.25,0.233
128,1KB.txt,0.208,0.311
128,1KB.txt,0.223,0.216
128,1KB.txt,0.255,0.228
128,1KB.txt,0.223,0.282
128,1KB.txt,0.218,0.223
128,1KB.txt,0.609,0.23
128,1KB.txt,0.238,0.311
128,1KB.txt,0.271,0.229
128,1KB.txt,0.252,0.24
128,1KB.txt,0.244,0.242
128,1KB.txt,0.218,0.24
128,1KB.txt,0.239,0.246
128,1KB.txt,0.22,0.23
128,1KB.txt,0.218,0.222
128,1KB.txt,0.247,0.24
128,1KB.txt,0.223,0.25
128,1KB.txt,0.227,0.217
128,1KB.txt,0.253,0.233
128,1KB.txt,0.222,0.245
128,1KB.txt,0.229,0.221
128,1KB.txt,0.248,0.235
128,1KB.txt,0.211,0.243
128,1KB.txt,0.229,0.25
128,1KB.txt,0.245,0.24
128,1KB.txt,0.258,0.245
128,1KB.txt,0.237,0.229
128,1KB.txt,0.262,0.242
128,1KB.txt,0.245,0.219
128,1KB.txt,0.213,0.259
128,1KB.txt,0.222,0.233
128,1KB.txt,0.262,0.252
128,1KB.txt,0.22,0.247
128,1KB.txt,0.21,0.236
128,1KB.txt,0.252,0.253
128,1KB.txt,0.215,0.232
128,1KB.txt,0.235,0.228
128,1KB.txt,0.226,0.217
128,1KB.txt,0.23,0.235
128,1KB.txt,0.218,0.205
128,1KB.txt,0.221,0.228
128,1KB.txt,0.214,0.245
128,1KB.txt,0.23,0.238
128,1KB.txt,0.242,0.228
128,1KB.txt,0.218,0.245
128,1KB.txt,0.221,0.314
128,1KB.txt,0.223,0.227
128,1KB.txt,0.249,0.221
128,1KB.txt,0.214,0.238
128,1KB.txt,0.228,0.218
128,1KB.txt,0.225,0.23
128,1KB.txt,0.229,0.263
128,1KB.txt,0.4,0.207
128,1KB.txt,0.231,0.225
128,1KB.txt,0.24,0.248
128,1KB.txt,0.223,0.231
128,1KB.txt,0.238,0.225
128,1KB.txt,0.232,0.228
128,1KB.txt,0.217,0.267
128,1KB.txt,0.241,0.225
128,1KB.txt,0.23,0.284
128,1KB.txt,0.225,0.218
128,1KB.txt,0.238,0.235
128,1KB.txt,0.222,0.226
128,1KB.txt,0.215,0.24
128,1KB.txt,0.236,0.218
128,1KB.txt,0.217,0.221
128,1KB.txt,0.205,0.212
128,1KB.txt,0.217,0.216
128,1KB.txt,0.215,0.232
128,1KB.txt,0.216,0.219
128,1KB.txt,0.247,0.229
128,1KB.txt,0.219,0.226
